Number of clusters: 2636
Average cluster size: 17.83
Cluster: BGC0002977.1, Number of genes: 4117
Cluster: BGC0000059.5, Number of genes: 13
Cluster: BGC0000068.5, Number of genes: 13
Cluster: BGC0000147.5, Number of genes: 13
Cluster: BGC0000149.5, Number of genes: 13
Cluster: BGC0000193.3, Number of genes: 13
Cluster: BGC0000207.5, Number of genes: 13
Cluster: BGC0000368.5, Number of genes: 13
Cluster: BGC0000373.5, Number of genes: 13
Cluster: BGC0000387.5, Number of genes: 13
Cluster: BGC0000407.5, Number of genes: 13
Cluster: BGC0000424.5, Number of genes: 13
Cluster: BGC0000451.5, Number of genes: 13
Cluster: BGC0000468.5, Number of genes: 13
Cluster: BGC0000469.6, Number of genes: 13
Cluster: BGC0000549.3, Number of genes: 13
Cluster: BGC0000559.4, Number of genes: 13
Cluster: BGC0000605.5, Number of genes: 13
Cluster: BGC0000632.5, Number of genes: 13
Cluster: BGC0000662.5, Number of genes: 13
Cluster: BGC0000663.5, Number of genes: 13
Cluster: BGC0000678.5, Number of genes: 13
Cluster: BGC0000706.3, Number of genes: 13
Cluster: BGC0000787.3, Number of genes: 13
Cluster: BGC0000791.3, Number of genes: 13
Cluster: BGC0000800.5, Number of genes: 13
Cluster: BGC0000812.3, Number of genes: 13
Cluster: BGC0000899.4, Number of genes: 13
Cluster: BGC0000954.5, Number of genes: 13
Cluster: BGC0000964.5, Number of genes: 13
Cluster: BGC0000969.5, Number of genes: 13
Cluster: BGC0000983.5, Number of genes: 13
Cluster: BGC0001007.5, Number of genes: 13
Cluster: BGC0001016.5, Number of genes: 13
Cluster: BGC0001071.4, Number of genes: 13
Cluster: BGC0001111.5, Number of genes: 13
Cluster: BGC0001137.5, Number of genes: 13
Cluster: BGC0001157.6, Number of genes: 13
Cluster: BGC0001267.3, Number of genes: 13
Cluster: BGC0001334.5, Number of genes: 13
Cluster: BGC0001357.3, Number of genes: 13
Cluster: BGC0001371.4, Number of genes: 13
Cluster: BGC0001389.5, Number of genes: 13
Cluster: BGC0001420.4, Number of genes: 13
Cluster: BGC0001421.4, Number of genes: 13
Cluster: BGC0001423.4, Number of genes: 13
Cluster: BGC0001425.4, Number of genes: 13
Cluster: BGC0001426.4, Number of genes: 13
Cluster: BGC0001427.4, Number of genes: 13
Cluster: BGC0001449.5, Number of genes: 13
Cluster: BGC0001510.5, Number of genes: 13
Cluster: BGC0001561.4, Number of genes: 13
Cluster: BGC0001565.4, Number of genes: 13
Cluster: BGC0001706.3, Number of genes: 13
Cluster: BGC0001708.3, Number of genes: 13
Cluster: BGC0001739.3, Number of genes: 13
Cluster: BGC0001820.3, Number of genes: 13
Cluster: BGC0001828.5, Number of genes: 13
Cluster: BGC0001952.3, Number of genes: 13
Cluster: BGC0001953.4, Number of genes: 13
Cluster: BGC0001966.3, Number of genes: 13
Cluster: BGC0002036.4, Number of genes: 13
Cluster: BGC0002168.3, Number of genes: 13
Cluster: BGC0002169.3, Number of genes: 13
Cluster: BGC0002177.2, Number of genes: 13
Cluster: BGC0002214.3, Number of genes: 13
Cluster: BGC0002220.2, Number of genes: 13
Cluster: BGC0002232.2, Number of genes: 13
Cluster: BGC0002261.2, Number of genes: 13
Cluster: BGC0002287.2, Number of genes: 13
Cluster: BGC0002317.2, Number of genes: 13
Cluster: BGC0002413.3, Number of genes: 13
Cluster: BGC0002414.3, Number of genes: 13
Cluster: BGC0002422.2, Number of genes: 13
Cluster: BGC0002467.2, Number of genes: 13
Cluster: BGC0002484.3, Number of genes: 13
Cluster: BGC0002564.3, Number of genes: 13
Cluster: BGC0002586.2, Number of genes: 13
Cluster: BGC0002611.2, Number of genes: 13
Cluster: BGC0002612.3, Number of genes: 13
Cluster: BGC0002668.2, Number of genes: 13
Cluster: BGC0002670.2, Number of genes: 13
Cluster: BGC0002675.2, Number of genes: 13
Cluster: BGC0002680.2, Number of genes: 13
Cluster: BGC0002688.2, Number of genes: 13
Cluster: BGC0002731.2, Number of genes: 13
Cluster: BGC0002733.3, Number of genes: 13
Cluster: BGC0002758.1, Number of genes: 13
Cluster: BGC0002813.2, Number of genes: 13
Cluster: BGC0002815.2, Number of genes: 13
Cluster: BGC0003117.1, Number of genes: 13
Cluster: BGC0000101.5, Number of genes: 12
Cluster: BGC0000109.5, Number of genes: 12
Cluster: BGC0000124.5, Number of genes: 12
Cluster: BGC0000204.5, Number of genes: 12
Cluster: BGC0000243.4, Number of genes: 12
Cluster: BGC0000265.5, Number of genes: 12
Cluster: BGC0000271.5, Number of genes: 12
Cluster: BGC0000275.4, Number of genes: 12
Cluster: BGC0000367.5, Number of genes: 12
Cluster: BGC0000488.4, Number of genes: 12
Cluster: BGC0000569.5, Number of genes: 12
Cluster: BGC0000598.5, Number of genes: 12
Cluster: BGC0000613.5, Number of genes: 12
Cluster: BGC0000620.3, Number of genes: 12
Cluster: BGC0000624.3, Number of genes: 12
Cluster: BGC0000634.3, Number of genes: 12
Cluster: BGC0000725.5, Number of genes: 12
Cluster: BGC0000736.3, Number of genes: 12
Cluster: BGC0000772.5, Number of genes: 12
Cluster: BGC0000790.3, Number of genes: 12
Cluster: BGC0000879.5, Number of genes: 12
Cluster: BGC0000892.4, Number of genes: 12
Cluster: BGC0000903.3, Number of genes: 12
Cluster: BGC0000913.3, Number of genes: 12
Cluster: BGC0000943.5, Number of genes: 12
Cluster: BGC0001006.5, Number of genes: 12
Cluster: BGC0001034.5, Number of genes: 12
Cluster: BGC0001064.5, Number of genes: 12
Cluster: BGC0001167.4, Number of genes: 12
Cluster: BGC0001169.5, Number of genes: 12
Cluster: BGC0001173.5, Number of genes: 12
Cluster: BGC0001188.3, Number of genes: 12
Cluster: BGC0001296.3, Number of genes: 12
Cluster: BGC0001345.5, Number of genes: 12
Cluster: BGC0001394.5, Number of genes: 12
Cluster: BGC0001417.4, Number of genes: 12
Cluster: BGC0001418.4, Number of genes: 12
Cluster: BGC0001419.4, Number of genes: 12
Cluster: BGC0001429.4, Number of genes: 12
Cluster: BGC0001430.4, Number of genes: 12
Cluster: BGC0001431.4, Number of genes: 12
Cluster: BGC0001469.5, Number of genes: 12
Cluster: BGC0001513.3, Number of genes: 12
Cluster: BGC0001524.3, Number of genes: 12
Cluster: BGC0001560.4, Number of genes: 12
Cluster: BGC0001624.3, Number of genes: 12
Cluster: BGC0001637.3, Number of genes: 12
Cluster: BGC0001651.3, Number of genes: 12
Cluster: BGC0001742.5, Number of genes: 12
Cluster: BGC0001791.4, Number of genes: 12
Cluster: BGC0001799.3, Number of genes: 12
Cluster: BGC0001810.3, Number of genes: 12
Cluster: BGC0001822.4, Number of genes: 12
Cluster: BGC0001847.2, Number of genes: 12
Cluster: BGC0001860.4, Number of genes: 12
Cluster: BGC0001863.4, Number of genes: 12
Cluster: BGC0001869.4, Number of genes: 12
Cluster: BGC0001984.3, Number of genes: 12
Cluster: BGC0002083.3, Number of genes: 12
Cluster: BGC0002089.2, Number of genes: 12
Cluster: BGC0002115.3, Number of genes: 12
Cluster: BGC0002146.2, Number of genes: 12
Cluster: BGC0002213.3, Number of genes: 12
Cluster: BGC0002222.2, Number of genes: 12
Cluster: BGC0002233.3, Number of genes: 12
Cluster: BGC0002264.3, Number of genes: 12
Cluster: BGC0002278.3, Number of genes: 12
Cluster: BGC0002324.3, Number of genes: 12
Cluster: BGC0002334.3, Number of genes: 12
Cluster: BGC0002410.3, Number of genes: 12
Cluster: BGC0002433.3, Number of genes: 12
Cluster: BGC0002495.2, Number of genes: 12
Cluster: BGC0002503.3, Number of genes: 12
Cluster: BGC0002531.3, Number of genes: 12
Cluster: BGC0002537.2, Number of genes: 12
Cluster: BGC0002539.3, Number of genes: 12
Cluster: BGC0002565.2, Number of genes: 12
Cluster: BGC0002570.2, Number of genes: 12
Cluster: BGC0002592.2, Number of genes: 12
Cluster: BGC0002613.2, Number of genes: 12
Cluster: BGC0002694.2, Number of genes: 12
Cluster: BGC0002835.1, Number of genes: 12
Cluster: BGC0002860.1, Number of genes: 12
Cluster: BGC0002866.1, Number of genes: 12
Cluster: BGC0002904.1, Number of genes: 12
Cluster: BGC0002930.1, Number of genes: 12
Cluster: BGC0002950.1, Number of genes: 12
Cluster: BGC0002994.1, Number of genes: 12
Cluster: BGC0003101.1, Number of genes: 12
Cluster: BGC0000022.3, Number of genes: 11
Cluster: BGC0000110.5, Number of genes: 11
Cluster: BGC0000132.3, Number of genes: 11
Cluster: BGC0000138.5, Number of genes: 11
Cluster: BGC0000140.5, Number of genes: 11
Cluster: BGC0000161.4, Number of genes: 11
Cluster: BGC0000177.5, Number of genes: 11
Cluster: BGC0000304.4, Number of genes: 11
Cluster: BGC0000324.5, Number of genes: 11
Cluster: BGC0000325.5, Number of genes: 11
Cluster: BGC0000329.5, Number of genes: 11
Cluster: BGC0000371.5, Number of genes: 11
Cluster: BGC0000443.5, Number of genes: 11
Cluster: BGC0000444.5, Number of genes: 11
Cluster: BGC0000470.6, Number of genes: 11
Cluster: BGC0000506.4, Number of genes: 11
Cluster: BGC0000509.4, Number of genes: 11
Cluster: BGC0000514.5, Number of genes: 11
Cluster: BGC0000535.4, Number of genes: 11
Cluster: BGC0000536.3, Number of genes: 11
Cluster: BGC0000537.3, Number of genes: 11
Cluster: BGC0000539.5, Number of genes: 11
Cluster: BGC0000540.5, Number of genes: 11
Cluster: BGC0000547.5, Number of genes: 11
Cluster: BGC0000579.4, Number of genes: 11
Cluster: BGC0000588.5, Number of genes: 11
Cluster: BGC0000589.5, Number of genes: 11
Cluster: BGC0000633.3, Number of genes: 11
Cluster: BGC0000648.3, Number of genes: 11
Cluster: BGC0000672.4, Number of genes: 11
Cluster: BGC0000738.3, Number of genes: 11
Cluster: BGC0000776.3, Number of genes: 11
Cluster: BGC0000783.3, Number of genes: 11
Cluster: BGC0000811.3, Number of genes: 11
Cluster: BGC0000895.5, Number of genes: 11
Cluster: BGC0000904.5, Number of genes: 11
Cluster: BGC0000922.5, Number of genes: 11
Cluster: BGC0000947.5, Number of genes: 11
Cluster: BGC0000985.5, Number of genes: 11
Cluster: BGC0001019.5, Number of genes: 11
Cluster: BGC0001022.5, Number of genes: 11
Cluster: BGC0001029.5, Number of genes: 11
Cluster: BGC0001057.4, Number of genes: 11
Cluster: BGC0001075.5, Number of genes: 11
Cluster: BGC0001227.3, Number of genes: 11
Cluster: BGC0001235.4, Number of genes: 11
Cluster: BGC0001255.4, Number of genes: 11
Cluster: BGC0001365.3, Number of genes: 11
Cluster: BGC0001407.5, Number of genes: 11
Cluster: BGC0001445.5, Number of genes: 11
Cluster: BGC0001465.5, Number of genes: 11
Cluster: BGC0001496.3, Number of genes: 11
Cluster: BGC0001525.3, Number of genes: 11
Cluster: BGC0001536.4, Number of genes: 11
Cluster: BGC0001544.3, Number of genes: 11
Cluster: BGC0001547.3, Number of genes: 11
Cluster: BGC0001562.5, Number of genes: 11
Cluster: BGC0001564.4, Number of genes: 11
Cluster: BGC0001567.4, Number of genes: 11
Cluster: BGC0001585.3, Number of genes: 11
Cluster: BGC0001630.4, Number of genes: 11
Cluster: BGC0001650.4, Number of genes: 11
Cluster: BGC0001696.5, Number of genes: 11
Cluster: BGC0001727.3, Number of genes: 11
Cluster: BGC0001789.3, Number of genes: 11
Cluster: BGC0001802.5, Number of genes: 11
Cluster: BGC0001811.3, Number of genes: 11
Cluster: BGC0001868.4, Number of genes: 11
Cluster: BGC0001881.4, Number of genes: 11
Cluster: BGC0001891.3, Number of genes: 11
Cluster: BGC0001910.4, Number of genes: 11
Cluster: BGC0001937.4, Number of genes: 11
Cluster: BGC0001976.3, Number of genes: 11
Cluster: BGC0001987.2, Number of genes: 11
Cluster: BGC0001991.2, Number of genes: 11
Cluster: BGC0001995.3, Number of genes: 11
Cluster: BGC0002013.4, Number of genes: 11
Cluster: BGC0002037.3, Number of genes: 11
Cluster: BGC0002050.3, Number of genes: 11
Cluster: BGC0002067.3, Number of genes: 11
Cluster: BGC0002111.3, Number of genes: 11
Cluster: BGC0002148.2, Number of genes: 11
Cluster: BGC0002152.2, Number of genes: 11
Cluster: BGC0002204.3, Number of genes: 11
Cluster: BGC0002253.3, Number of genes: 11
Cluster: BGC0002290.2, Number of genes: 11
Cluster: BGC0002332.2, Number of genes: 11
Cluster: BGC0002346.3, Number of genes: 11
Cluster: BGC0002382.3, Number of genes: 11
Cluster: BGC0002411.3, Number of genes: 11
Cluster: BGC0002442.3, Number of genes: 11
Cluster: BGC0002449.2, Number of genes: 11
Cluster: BGC0002451.2, Number of genes: 11
Cluster: BGC0002471.3, Number of genes: 11
Cluster: BGC0002485.2, Number of genes: 11
Cluster: BGC0002491.3, Number of genes: 11
Cluster: BGC0002494.3, Number of genes: 11
Cluster: BGC0002508.2, Number of genes: 11
Cluster: BGC0002542.2, Number of genes: 11
Cluster: BGC0002546.3, Number of genes: 11
Cluster: BGC0002572.3, Number of genes: 11
Cluster: BGC0002615.2, Number of genes: 11
Cluster: BGC0002619.2, Number of genes: 11
Cluster: BGC0002625.2, Number of genes: 11
Cluster: BGC0002696.2, Number of genes: 11
Cluster: BGC0002701.2, Number of genes: 11
Cluster: BGC0002709.2, Number of genes: 11
Cluster: BGC0002747.3, Number of genes: 11
Cluster: BGC0002760.2, Number of genes: 11
Cluster: BGC0002804.2, Number of genes: 11
Cluster: BGC0002810.2, Number of genes: 11
Cluster: BGC0002886.1, Number of genes: 11
Cluster: BGC0002909.1, Number of genes: 11
Cluster: BGC0002913.1, Number of genes: 11
Cluster: BGC0002953.1, Number of genes: 11
Cluster: BGC0003100.1, Number of genes: 11
Cluster: BGC0003108.1, Number of genes: 11
Cluster: BGC0003130.1, Number of genes: 11
Cluster: BGC0003150.1, Number of genes: 11
Cluster: BGC0003151.1, Number of genes: 11
Cluster: BGC0003162.1, Number of genes: 11
Cluster: BGC0000051.5, Number of genes: 10
Cluster: BGC0000057.5, Number of genes: 10
Cluster: BGC0000077.3, Number of genes: 10
Cluster: BGC0000170.3, Number of genes: 10
Cluster: BGC0000181.5, Number of genes: 10
Cluster: BGC0000185.5, Number of genes: 10
Cluster: BGC0000249.5, Number of genes: 10
Cluster: BGC0000292.4, Number of genes: 10
Cluster: BGC0000295.5, Number of genes: 10
Cluster: BGC0000313.4, Number of genes: 10
Cluster: BGC0000335.4, Number of genes: 10
Cluster: BGC0000385.5, Number of genes: 10
Cluster: BGC0000398.5, Number of genes: 10
Cluster: BGC0000410.5, Number of genes: 10
Cluster: BGC0000421.5, Number of genes: 10
Cluster: BGC0000423.5, Number of genes: 10
Cluster: BGC0000447.5, Number of genes: 10
Cluster: BGC0000454.5, Number of genes: 10
Cluster: BGC0000461.5, Number of genes: 10
Cluster: BGC0000515.4, Number of genes: 10
Cluster: BGC0000521.3, Number of genes: 10
Cluster: BGC0000522.3, Number of genes: 10
Cluster: BGC0000527.5, Number of genes: 10
Cluster: BGC0000555.3, Number of genes: 10
Cluster: BGC0000556.5, Number of genes: 10
Cluster: BGC0000557.5, Number of genes: 10
Cluster: BGC0000600.3, Number of genes: 10
Cluster: BGC0000643.3, Number of genes: 10
Cluster: BGC0000682.3, Number of genes: 10
Cluster: BGC0000720.3, Number of genes: 10
Cluster: BGC0000734.3, Number of genes: 10
Cluster: BGC0000786.3, Number of genes: 10
Cluster: BGC0000793.3, Number of genes: 10
Cluster: BGC0000844.5, Number of genes: 10
Cluster: BGC0000881.3, Number of genes: 10
Cluster: BGC0000886.4, Number of genes: 10
Cluster: BGC0000890.5, Number of genes: 10
Cluster: BGC0000891.4, Number of genes: 10
Cluster: BGC0000991.4, Number of genes: 10
Cluster: BGC0001014.5, Number of genes: 10
Cluster: BGC0001021.5, Number of genes: 10
Cluster: BGC0001090.5, Number of genes: 10
Cluster: BGC0001103.5, Number of genes: 10
Cluster: BGC0001105.5, Number of genes: 10
Cluster: BGC0001125.5, Number of genes: 10
Cluster: BGC0001141.4, Number of genes: 10
Cluster: BGC0001145.5, Number of genes: 10
Cluster: BGC0001207.5, Number of genes: 10
Cluster: BGC0001211.5, Number of genes: 10
Cluster: BGC0001237.5, Number of genes: 10
Cluster: BGC0001291.3, Number of genes: 10
Cluster: BGC0001325.3, Number of genes: 10
Cluster: BGC0001327.5, Number of genes: 10
Cluster: BGC0001440.5, Number of genes: 10
Cluster: BGC0001472.5, Number of genes: 10
Cluster: BGC0001485.4, Number of genes: 10
Cluster: BGC0001486.4, Number of genes: 10
Cluster: BGC0001495.3, Number of genes: 10
Cluster: BGC0001505.4, Number of genes: 10
Cluster: BGC0001508.3, Number of genes: 10
Cluster: BGC0001518.3, Number of genes: 10
Cluster: BGC0001526.4, Number of genes: 10
Cluster: BGC0001529.5, Number of genes: 10
Cluster: BGC0001553.5, Number of genes: 10
Cluster: BGC0001621.4, Number of genes: 10
Cluster: BGC0001626.3, Number of genes: 10
Cluster: BGC0001636.4, Number of genes: 10
Cluster: BGC0001667.4, Number of genes: 10
Cluster: BGC0001723.5, Number of genes: 10
Cluster: BGC0001737.3, Number of genes: 10
Cluster: BGC0001741.3, Number of genes: 10
Cluster: BGC0001780.4, Number of genes: 10
Cluster: BGC0001788.3, Number of genes: 10
Cluster: BGC0001808.5, Number of genes: 10
Cluster: BGC0001870.3, Number of genes: 10
Cluster: BGC0001872.3, Number of genes: 10
Cluster: BGC0001903.3, Number of genes: 10
Cluster: BGC0001911.3, Number of genes: 10
Cluster: BGC0001926.3, Number of genes: 10
Cluster: BGC0001959.4, Number of genes: 10
Cluster: BGC0002066.3, Number of genes: 10
Cluster: BGC0002133.3, Number of genes: 10
Cluster: BGC0002149.2, Number of genes: 10
Cluster: BGC0002196.2, Number of genes: 10
Cluster: BGC0002206.2, Number of genes: 10
Cluster: BGC0002209.2, Number of genes: 10
Cluster: BGC0002218.2, Number of genes: 10
Cluster: BGC0002221.2, Number of genes: 10
Cluster: BGC0002239.2, Number of genes: 10
Cluster: BGC0002256.3, Number of genes: 10
Cluster: BGC0002297.2, Number of genes: 10
Cluster: BGC0002313.3, Number of genes: 10
Cluster: BGC0002347.3, Number of genes: 10
Cluster: BGC0002412.2, Number of genes: 10
Cluster: BGC0002429.3, Number of genes: 10
Cluster: BGC0002447.3, Number of genes: 10
Cluster: BGC0002475.3, Number of genes: 10
Cluster: BGC0002476.2, Number of genes: 10
Cluster: BGC0002482.2, Number of genes: 10
Cluster: BGC0002551.2, Number of genes: 10
Cluster: BGC0002560.3, Number of genes: 10
Cluster: BGC0002575.2, Number of genes: 10
Cluster: BGC0002578.2, Number of genes: 10
Cluster: BGC0002614.2, Number of genes: 10
Cluster: BGC0002679.2, Number of genes: 10
Cluster: BGC0002683.2, Number of genes: 10
Cluster: BGC0002695.2, Number of genes: 10
Cluster: BGC0002729.2, Number of genes: 10
Cluster: BGC0002745.3, Number of genes: 10
Cluster: BGC0002934.1, Number of genes: 10
Cluster: BGC0002955.1, Number of genes: 10
Cluster: BGC0002999.1, Number of genes: 10
Cluster: BGC0003025.1, Number of genes: 10
Cluster: BGC0003062.1, Number of genes: 10
Cluster: BGC0003094.1, Number of genes: 10
Cluster: BGC0000024.5, Number of genes: 9
Cluster: BGC0000039.3, Number of genes: 9
Cluster: BGC0000044.3, Number of genes: 9
Cluster: BGC0000073.5, Number of genes: 9
Cluster: BGC0000076.3, Number of genes: 9
Cluster: BGC0000083.5, Number of genes: 9
Cluster: BGC0000098.3, Number of genes: 9
Cluster: BGC0000103.5, Number of genes: 9
Cluster: BGC0000122.5, Number of genes: 9
Cluster: BGC0000129.3, Number of genes: 9
Cluster: BGC0000160.3, Number of genes: 9
Cluster: BGC0000217.5, Number of genes: 9
Cluster: BGC0000218.5, Number of genes: 9
Cluster: BGC0000277.5, Number of genes: 9
Cluster: BGC0000285.5, Number of genes: 9
Cluster: BGC0000306.5, Number of genes: 9
Cluster: BGC0000310.5, Number of genes: 9
Cluster: BGC0000322.3, Number of genes: 9
Cluster: BGC0000359.5, Number of genes: 9
Cluster: BGC0000425.5, Number of genes: 9
Cluster: BGC0000457.5, Number of genes: 9
Cluster: BGC0000473.4, Number of genes: 9
Cluster: BGC0000474.4, Number of genes: 9
Cluster: BGC0000530.5, Number of genes: 9
Cluster: BGC0000546.3, Number of genes: 9
Cluster: BGC0000564.5, Number of genes: 9
Cluster: BGC0000566.5, Number of genes: 9
Cluster: BGC0000582.4, Number of genes: 9
Cluster: BGC0000597.4, Number of genes: 9
Cluster: BGC0000606.5, Number of genes: 9
Cluster: BGC0000619.3, Number of genes: 9
Cluster: BGC0000685.4, Number of genes: 9
Cluster: BGC0000686.3, Number of genes: 9
Cluster: BGC0000707.5, Number of genes: 9
Cluster: BGC0000719.5, Number of genes: 9
Cluster: BGC0000777.3, Number of genes: 9
Cluster: BGC0000789.3, Number of genes: 9
Cluster: BGC0000802.5, Number of genes: 9
Cluster: BGC0000815.4, Number of genes: 9
Cluster: BGC0000862.3, Number of genes: 9
Cluster: BGC0000898.5, Number of genes: 9
Cluster: BGC0000930.4, Number of genes: 9
Cluster: BGC0000939.5, Number of genes: 9
Cluster: BGC0000959.5, Number of genes: 9
Cluster: BGC0001002.5, Number of genes: 9
Cluster: BGC0001015.5, Number of genes: 9
Cluster: BGC0001069.5, Number of genes: 9
Cluster: BGC0001098.5, Number of genes: 9
Cluster: BGC0001109.4, Number of genes: 9
Cluster: BGC0001112.5, Number of genes: 9
Cluster: BGC0001118.5, Number of genes: 9
Cluster: BGC0001170.5, Number of genes: 9
Cluster: BGC0001206.5, Number of genes: 9
Cluster: BGC0001289.5, Number of genes: 9
Cluster: BGC0001298.4, Number of genes: 9
Cluster: BGC0001301.5, Number of genes: 9
Cluster: BGC0001383.3, Number of genes: 9
Cluster: BGC0001388.3, Number of genes: 9
Cluster: BGC0001444.5, Number of genes: 9
Cluster: BGC0001458.4, Number of genes: 9
Cluster: BGC0001498.5, Number of genes: 9
Cluster: BGC0001509.5, Number of genes: 9
Cluster: BGC0001556.5, Number of genes: 9
Cluster: BGC0001570.5, Number of genes: 9
Cluster: BGC0001602.3, Number of genes: 9
Cluster: BGC0001628.4, Number of genes: 9
Cluster: BGC0001640.3, Number of genes: 9
Cluster: BGC0001647.3, Number of genes: 9
Cluster: BGC0001663.3, Number of genes: 9
Cluster: BGC0001705.4, Number of genes: 9
Cluster: BGC0001726.4, Number of genes: 9
Cluster: BGC0001747.3, Number of genes: 9
Cluster: BGC0001786.3, Number of genes: 9
Cluster: BGC0001787.3, Number of genes: 9
Cluster: BGC0001826.3, Number of genes: 9
Cluster: BGC0001840.2, Number of genes: 9
Cluster: BGC0001845.2, Number of genes: 9
Cluster: BGC0001854.4, Number of genes: 9
Cluster: BGC0001857.4, Number of genes: 9
Cluster: BGC0001861.4, Number of genes: 9
Cluster: BGC0001866.4, Number of genes: 9
Cluster: BGC0001906.2, Number of genes: 9
Cluster: BGC0001950.4, Number of genes: 9
Cluster: BGC0001951.4, Number of genes: 9
Cluster: BGC0002058.3, Number of genes: 9
Cluster: BGC0002064.2, Number of genes: 9
Cluster: BGC0002102.2, Number of genes: 9
Cluster: BGC0002128.3, Number of genes: 9
Cluster: BGC0002180.2, Number of genes: 9
Cluster: BGC0002185.2, Number of genes: 9
Cluster: BGC0002205.2, Number of genes: 9
Cluster: BGC0002215.3, Number of genes: 9
Cluster: BGC0002219.2, Number of genes: 9
Cluster: BGC0002330.2, Number of genes: 9
Cluster: BGC0002342.3, Number of genes: 9
Cluster: BGC0002351.3, Number of genes: 9
Cluster: BGC0002355.2, Number of genes: 9
Cluster: BGC0002401.2, Number of genes: 9
Cluster: BGC0002434.2, Number of genes: 9
Cluster: BGC0002473.3, Number of genes: 9
Cluster: BGC0002487.3, Number of genes: 9
Cluster: BGC0002492.3, Number of genes: 9
Cluster: BGC0002509.3, Number of genes: 9
Cluster: BGC0002521.3, Number of genes: 9
Cluster: BGC0002567.2, Number of genes: 9
Cluster: BGC0002568.2, Number of genes: 9
Cluster: BGC0002579.2, Number of genes: 9
Cluster: BGC0002581.2, Number of genes: 9
Cluster: BGC0002584.2, Number of genes: 9
Cluster: BGC0002594.2, Number of genes: 9
Cluster: BGC0002621.2, Number of genes: 9
Cluster: BGC0002685.2, Number of genes: 9
Cluster: BGC0002687.2, Number of genes: 9
Cluster: BGC0002692.2, Number of genes: 9
Cluster: BGC0002703.2, Number of genes: 9
Cluster: BGC0002719.2, Number of genes: 9
Cluster: BGC0003006.1, Number of genes: 9
Cluster: BGC0003145.1, Number of genes: 9
Cluster: BGC0003163.1, Number of genes: 9
Cluster: BGC0000045.3, Number of genes: 8
Cluster: BGC0000050.5, Number of genes: 8
Cluster: BGC0000058.5, Number of genes: 8
Cluster: BGC0000104.4, Number of genes: 8
Cluster: BGC0000126.5, Number of genes: 8
Cluster: BGC0000143.5, Number of genes: 8
Cluster: BGC0000180.5, Number of genes: 8
Cluster: BGC0000189.4, Number of genes: 8
Cluster: BGC0000196.4, Number of genes: 8
Cluster: BGC0000255.5, Number of genes: 8
Cluster: BGC0000281.3, Number of genes: 8
Cluster: BGC0000328.5, Number of genes: 8
Cluster: BGC0000346.5, Number of genes: 8
Cluster: BGC0000372.5, Number of genes: 8
Cluster: BGC0000377.4, Number of genes: 8
Cluster: BGC0000403.5, Number of genes: 8
Cluster: BGC0000411.5, Number of genes: 8
Cluster: BGC0000471.4, Number of genes: 8
Cluster: BGC0000475.5, Number of genes: 8
Cluster: BGC0000477.3, Number of genes: 8
Cluster: BGC0000484.5, Number of genes: 8
Cluster: BGC0000489.3, Number of genes: 8
Cluster: BGC0000497.3, Number of genes: 8
Cluster: BGC0000508.3, Number of genes: 8
Cluster: BGC0000516.4, Number of genes: 8
Cluster: BGC0000531.3, Number of genes: 8
Cluster: BGC0000533.3, Number of genes: 8
Cluster: BGC0000548.4, Number of genes: 8
Cluster: BGC0000573.3, Number of genes: 8
Cluster: BGC0000578.3, Number of genes: 8
Cluster: BGC0000594.5, Number of genes: 8
Cluster: BGC0000602.5, Number of genes: 8
Cluster: BGC0000622.5, Number of genes: 8
Cluster: BGC0000635.3, Number of genes: 8
Cluster: BGC0000637.3, Number of genes: 8
Cluster: BGC0000649.3, Number of genes: 8
Cluster: BGC0000820.5, Number of genes: 8
Cluster: BGC0000868.5, Number of genes: 8
Cluster: BGC0000876.5, Number of genes: 8
Cluster: BGC0000878.5, Number of genes: 8
Cluster: BGC0000975.5, Number of genes: 8
Cluster: BGC0000999.4, Number of genes: 8
Cluster: BGC0001000.5, Number of genes: 8
Cluster: BGC0001018.4, Number of genes: 8
Cluster: BGC0001027.5, Number of genes: 8
Cluster: BGC0001028.5, Number of genes: 8
Cluster: BGC0001082.4, Number of genes: 8
Cluster: BGC0001124.4, Number of genes: 8
Cluster: BGC0001131.5, Number of genes: 8
Cluster: BGC0001152.5, Number of genes: 8
Cluster: BGC0001171.5, Number of genes: 8
Cluster: BGC0001242.3, Number of genes: 8
Cluster: BGC0001264.3, Number of genes: 8
Cluster: BGC0001346.4, Number of genes: 8
Cluster: BGC0001360.3, Number of genes: 8
Cluster: BGC0001391.3, Number of genes: 8
Cluster: BGC0001415.4, Number of genes: 8
Cluster: BGC0001451.4, Number of genes: 8
Cluster: BGC0001456.3, Number of genes: 8
Cluster: BGC0001468.5, Number of genes: 8
Cluster: BGC0001490.3, Number of genes: 8
Cluster: BGC0001504.4, Number of genes: 8
Cluster: BGC0001576.3, Number of genes: 8
Cluster: BGC0001579.4, Number of genes: 8
Cluster: BGC0001600.3, Number of genes: 8
Cluster: BGC0001605.3, Number of genes: 8
Cluster: BGC0001608.4, Number of genes: 8
Cluster: BGC0001609.4, Number of genes: 8
Cluster: BGC0001618.3, Number of genes: 8
Cluster: BGC0001672.3, Number of genes: 8
Cluster: BGC0001736.3, Number of genes: 8
Cluster: BGC0001864.3, Number of genes: 8
